ROUND,GAME,TEAM,HOME,2P,2PA,3PA,3P,FT,FTA,ORB,DRB,AST,TOV,STL,PTS
1,game_1,team_5,1,19,34,19,7,26,29,10,19,16,16,14,85
1,game_1,team_7,0,17,36,25,10,12,16,15,15,13,18,12,76
1,game_2,team_0,1,22,41,22,8,25,36,13,24,11,18,10,93
1,game_2,team_9,0,20,36,33,11,18,24,10,23,6,16,9,91
1,game_3,team_10,1,12,28,17,3,15,19,6,23,5,17,11,60
1,game_3,team_6,0,22,39,19,7,11,14,7,25,8,14,6,72
1,game_4,team_1,1,20,36,22,9,22,29,7,25,10,13,11,89
1,game_4,team_8,0,11,32,28,11,16,26,11,22,10,17,6,75
1,game_5,team_3,1,20,33,23,8,14,23,7,20,15,5,4,78
1,game_5,team_14,0,15,30,27,7,7,10,10,19,10,15,0,58
1,game_6,team_12,1,21,42,21,5,19,24,11,24,8,15,11,76
1,game_6,team_16,0,18,28,22,6,17,25,4,22,11,19,3,65
1,game_7,team_13,1,12,39,28,8,19,25,10,29,12,12,6,67
1,game_7,team_4,0,16,36,23,6,27,33,5,30,8,8,2,75
1,game_8,team_11,1,20,35,19,8,19,22,4,20,11,12,10,85
1,game_8,team_15,0,18,30,22,10,16,21,3,23,10,15,6,84
2,game_9,team_8,1,13,32,27,17,22,23,8,15,21,14,12,101
2,game_9,team_5,0,24,40,12,5,25,30,8,19,13,15,12,88
2,game_10,team_9,1,17,26,19,9,16,26,13,24,9,23,8,78
2,game_10,team_12,0,15,36,19,8,16,21,9,20,11,20,11,70
2,game_11,team_14,1,13,33,29,12,11,18,10,21,11,10,9,73
2,game_11,team_10,0,25,42,11,2,18,23,6,26,5,12,4,74
2,game_12,team_7,1,29,46,14,7,17,24,3,22,17,15,0,96
2,game_12,team_0,0,20,40,30,14,8,10,12,21,20,18,2,90
2,game_13,team_16,1,17,37,18,5,20,28,10,22,8,16,4,69
2,game_13,team_1,0,11,27,28,10,14,19,11,23,7,23,0,66
2,game_14,team_6,1,20,30,24,8,7,10,9,28,14,21,3,71
2,game_14,team_3,0,15,35,18,4,8,11,5,15,10,15,3,58
2,game_15,team_15,1,22,42,24,7,12,14,10,25,10,12,4,77
